utc,buy,sell,vol_btc,last
2019-01-01 16:53:02.591641,190.23,192.08,1348.83709527,192.85
2019-01-01 16:54:02.623455,190.31,192.08,1348.83709527,192.85
2019-01-01 16:55:02.611895,190.10,192.10,1348.83709527,192.85
2019-01-01 16:56:02.630483,190.20,192.10,1348.83709527,192.85
2019-01-01 16:57:03.220418,190.29,192.10,1348.83709527,192.85
2019-01-01 16:58:03.084197,190.37,191.84,1348.83709527,192.85
2019-01-01 16:59:03.176193,190.48,191.84,1345.44352248,192.85
2019-01-01 17:00:03.481482,190.55,191.84,1335.52439224,192.85
2019-01-01 17:01:02.834228,190.04,193.20,1335.42439223,192.85
2019-01-01 17:02:02.969738,190.03,192.96,1335.42439223,192.85
2019-01-01 17:03:02.953938,190.02,192.79,1335.42439223,192.85
2019-01-01 17:04:03.447278,190.11,193.06,1335.42439223,192.85
2019-01-01 17:05:03.466926,190.21,192.91,1335.42439223,192.85
2019-01-01 17:06:02.593893,190.30,192.90,1335.42439223,192.85
2019-01-01 17:07:02.717869,190.10,192.16,1335.42439223,192.85
2019-01-01 17:08:02.735936,190.23,192.16,1335.42439223,192.85
2019-01-01 17:09:02.861820,190.32,192.16,1335.42439223,192.85
2019-01-01 17:10:03.022254,190.42,192.16,1325.27976328,192.85
2019-01-01 17:11:03.313122,190.09,192.16,1322.98350323,192.85
2019-01-01 17:12:03.429571,190.18,192.16,1322.98350323,192.85
2019-01-01 17:13:03.441937,190.27,192.16,1316.06976318,192.85
2019-01-01 17:14:03.501355,190.42,192.16,1316.06976318,192.85
2019-01-01 17:15:03.220803,190.51,192.16,1311.92435518,190.48
2019-01-01 17:16:03.304099,190.19,192.16,1311.92435518,190.48
2019-01-01 17:17:03.388774,190.36,192.92,1305.77365517,190.48
2019-01-01 17:18:03.405974,190.53,193.19,1305.77365517,190.48
2019-01-01 17:19:03.485542,190.02,193.12,1305.77365517,190.48
2019-01-01 17:20:02.737243,190.21,192.49,1305.77365517,190.48
2019-01-01 17:21:02.876131,190.33,192.49,1305.67533146,190.48
2019-01-01 17:22:02.894240,190.49,192.48,1305.67533146,190.48
2019-01-01 17:23:03.065218,190.68,192.48,1305.67533146,190.48
2019-01-01 17:24:03.211647,190.71,192.48,1305.65277646,190.48
2019-01-01 17:25:03.369670,190.79,192.48,1305.65277646,190.48
2019-01-01 17:26:03.471661,190.85,192.48,1305.55447916,190.48
2019-01-01 17:27:02.668596,190.25,192.48,1305.55447916,190.48
2019-01-01 17:28:02.706324,190.47,192.48,1305.55447916,190.48
2019-01-01 17:29:02.790898,190.60,192.48,1305.53193308,190.48
2019-01-01 17:30:03.081225,190.06,192.98,1303.33194318,190.48
2019-01-01 17:31:03.063274,190.13,193.13,1299.87310875,190.48
2019-01-01 17:32:03.149829,190.30,193.02,1296.55697502,190.48
2019-01-01 17:33:03.214709,190.40,193.16,1296.55697502,190.48
2019-01-01 17:34:03.212244,190.48,192.37,1284.76670698,190.48
2019-01-01 17:35:03.316264,190.57,192.37,1284.76670698,190.48
2019-01-01 17:36:02.952484,190.02,192.37,1240.12047581,190.48
2019-01-01 17:37:02.814261,190.10,192.37,1240.12047581,190.48
2019-01-01 17:38:02.966288,190.20,192.36,1240.12047581,190.48
2019-01-01 17:39:03.036920,190.30,192.36,1240.09800567,190.48
2019-01-01 17:40:03.128043,190.40,192.18,1240.09800567,190.48
2019-01-01 17:41:03.113963,190.11,192.18,1239.90327447,190.48
2019-01-01 17:42:03.187858,190.21,192.01,1239.90327447,190.48
2019-01-01 17:43:03.194361,190.30,192.00,1239.90327447,190.48
2019-01-01 17:44:03.483274,190.40,193.19,1239.83599738,190.48
2019-01-01 17:45:02.722050,190.48,191.96,1239.83599738,190.48
2019-01-01 17:46:02.784029,190.57,191.96,1239.73868268,190.48
2019-01-01 17:47:02.815764,190.05,191.96,1239.73868268,190.48
2019-01-01 17:48:02.848706,190.15,191.96,1239.73868268,190.48
2019-01-01 17:49:02.846417,190.24,191.96,1239.66607498,190.48
2019-01-01 17:50:03.073712,190.33,191.96,1239.66607498,190.48
2019-01-01 17:51:03.210898,190.07,191.77,1239.56860603,190.48
2019-01-01 17:52:03.342801,190.17,191.77,1239.56860603,190.48
2019-01-01 17:53:03.301346,190.26,192.40,1239.56860603,190.48
2019-01-01 17:54:03.420158,190.35,192.39,1239.54607362,190.48
2019-01-01 17:55:03.569114,190.45,193.11,1239.54607362,190.48
2019-01-01 17:56:02.622328,190.02,192.90,1239.44871674,190.48
2019-01-01 17:57:02.793186,190.01,192.66,1239.44871674,190.48
2019-01-01 17:58:02.829374,190.05,192.59,1239.44871674,190.48
2019-01-01 17:59:03.183796,190.14,192.57,1239.42619566,190.48
2019-01-01 18:00:03.544806,190.23,192.56,1239.42619566,190.48
2019-01-01 18:01:02.766417,189.18,192.53,1239.32873595,190.48
2019-01-01 18:02:03.103697,189.04,192.49,1239.32873595,190.48
2019-01-01 18:03:02.814356,189.13,192.41,1239.32873595,190.48
2019-01-01 18:04:02.943930,189.22,192.29,1239.30622483,190.48
2019-01-01 18:05:03.202269,189.08,192.12,1249.47267380,192.30
2019-01-01 18:06:03.273352,189.01,192.12,1247.53396146,192.12
2019-01-01 18:07:03.436255,189.08,193.15,1247.53396146,192.12
2019-01-01 18:08:03.520666,189.18,191.93,1247.53396146,192.12
2019-01-01 18:09:02.775524,189.26,191.93,1247.51144327,192.12
2019-01-01 18:10:03.013820,189.02,191.93,1247.51144327,192.12
2019-01-01 18:11:03.105381,189.02,191.93,1247.41398368,192.12
2019-01-01 18:12:03.404668,189.11,191.93,1247.41398368,192.12
2019-01-01 18:13:02.778530,189.20,191.85,1247.39145951,192.12
2019-01-01 18:14:03.055991,189.07,191.83,1247.39145951,192.12
2019-01-01 18:15:03.291841,189.05,191.66,1247.39145951,192.12
2019-01-01 18:16:03.498147,189.15,191.66,1247.29350252,192.12
2019-01-01 18:17:02.683642,189.04,191.64,1247.29350252,192.12
2019-01-01 18:18:02.860797,189.13,191.64,1247.27097448,192.12
2019-01-01 18:19:03.124801,189.23,193.13,1247.27097448,192.12
2019-01-01 18:20:03.334719,189.32,193.09,1247.27097448,192.12
2019-01-01 18:21:03.477735,189.08,193.00,1247.17294791,192.12
2019-01-01 18:22:03.579149,189.18,192.90,1247.17294791,192.12
2019-01-01 18:23:02.729397,189.27,192.76,1247.15042524,192.12
2019-01-01 18:24:02.799316,189.36,193.04,1247.15042524,192.12
2019-01-01 18:25:02.933602,189.46,192.99,1247.15042524,192.12
2019-01-01 18:26:02.977642,189.07,193.28,1247.05248940,192.12
2019-01-01 18:27:03.017949,189.17,193.24,1247.05248940,192.12
2019-01-01 18:28:03.152819,189.26,193.18,1247.02995274,192.12
2019-01-01 18:29:03.178463,189.35,191.96,1247.02995274,192.12
2019-01-01 18:30:03.343192,189.43,191.96,1247.02995274,192.12
2019-01-01 18:31:03.356829,189.07,191.94,1246.93192826,192.12
2019-01-01 18:32:03.516343,189.01,191.93,1246.93192826,192.12
2019-01-01 18:33:02.671569,189.00,191.92,1244.77664091,192.12
2019-01-01 18:34:02.733540,189.04,191.77,1244.77664091,192.12
2019-01-01 18:35:02.897649,189.13,191.78,1244.77664091,192.12
2019-01-01 18:36:02.994012,189.02,191.54,1244.67840697,192.12
2019-01-01 18:37:03.330032,189.07,191.34,1244.67840697,192.12
2019-01-01 18:38:03.308717,189.17,191.34,1244.65586895,192.12
2019-01-01 18:39:03.386312,189.26,191.34,1244.65586895,192.12
2019-01-01 18:40:03.473295,189.35,191.34,1244.65586895,192.12
2019-01-01 18:41:03.517160,189.13,191.34,1244.55784574,192.12
2019-01-01 18:42:03.505383,189.23,191.34,1244.55784574,192.12
2019-01-01 18:43:03.555093,189.32,191.34,1244.53530746,192.12
2019-01-01 18:44:02.601158,189.42,191.34,1244.53530746,192.12
2019-01-01 18:45:02.652610,189.51,191.34,1244.53530746,192.12
2019-01-01 18:46:02.728961,189.08,191.34,1244.43728418,192.12
2019-01-01 18:47:02.852540,189.17,191.34,1244.43728418,192.12
2019-01-01 18:48:03.000111,189.26,191.34,1244.41474619,192.12
2019-01-01 18:49:03.305788,189.35,191.34,1244.41474619,192.12
2019-01-01 18:50:02.663837,189.45,191.34,1244.41474619,192.12
2019-01-01 18:51:03.462940,189.08,191.34,1244.31672293,192.12
2019-01-01 18:52:02.623602,189.20,191.34,1243.59150131,192.12
2019-01-01 18:53:02.635898,189.29,191.34,1243.56894825,192.12
2019-01-01 18:54:02.751448,189.38,191.34,1243.56894825,192.12
2019-01-01 18:55:02.829810,189.48,191.34,1244.07851237,191.34
2019-01-01 18:56:02.936124,189.57,191.34,1243.98050580,191.34
2019-01-01 18:57:03.108593,189.67,191.34,1243.98050580,191.34
2019-01-01 18:58:03.293596,189.74,191.34,1216.55257345,191.34
2019-01-01 18:59:03.278755,188.22,191.34,1216.55257345,191.34
2019-01-01 19:00:03.422717,188.41,191.34,1216.55257345,191.34
2019-01-01 19:01:03.447266,188.51,191.34,1216.45483924,191.34
2019-01-01 19:02:03.494843,188.78,191.34,1216.45483924,191.34
2019-01-01 19:03:03.278852,188.97,191.34,1215.55229285,191.34
2019-01-01 19:04:03.345117,189.16,191.34,1215.31824388,191.34
2019-01-01 19:05:03.269679,189.34,191.34,1215.31824388,191.34
2019-01-01 19:06:03.313098,189.53,191.34,1215.22046652,191.34
2019-01-01 19:07:03.238375,189.70,191.34,1215.22046652,191.34
2019-01-01 19:08:02.741683,189.86,191.34,1215.19793553,191.34
2019-01-01 19:09:02.791984,189.96,191.34,1215.19793553,191.34
2019-01-01 19:10:02.828192,190.05,191.34,1215.19793553,191.34
2019-01-01 19:11:03.133824,188.53,191.34,1215.10037552,191.34
2019-01-01 19:12:03.176504,188.75,191.34,1215.10037552,191.34
2019-01-01 19:13:03.181201,188.93,191.34,1215.07782393,191.34
2019-01-01 19:14:03.105461,189.09,191.34,1215.07782393,191.34
2019-01-01 19:15:03.084553,189.60,191.34,1215.07782393,191.34
2019-01-01 19:16:02.978549,189.77,191.34,1214.98021397,191.34
2019-01-01 19:17:02.910234,189.93,191.34,1214.98021397,191.34
2019-01-01 19:18:02.941423,190.07,191.34,1214.95767007,191.34
2019-01-01 19:19:02.867286,189.14,191.34,1214.95767007,191.34
2019-01-01 19:20:02.881235,189.37,191.34,1214.15848110,191.34
2019-01-01 19:21:03.006116,189.56,191.34,1214.26065051,191.34
2019-01-01 19:22:03.009229,189.80,191.34,1215.11922050,191.34
2019-01-01 19:23:03.020864,189.92,191.34,1215.09667683,191.34
2019-01-01 19:24:02.954119,190.07,191.34,1215.09667683,191.34
2019-01-01 19:25:02.937008,190.17,191.34,1214.99907216,191.34
2019-01-01 19:26:02.853076,190.24,191.34,1214.94180085,191.34
2019-01-01 19:27:02.964705,190.33,191.34,1214.94180085,191.34
2019-01-01 19:28:02.959621,190.42,191.34,1214.91926655,191.34
2019-01-01 19:29:02.984708,190.54,191.34,1214.91926655,191.34
2019-01-01 19:30:03.002954,190.59,191.34,1214.86661527,191.34
2019-01-01 19:31:03.215139,190.55,191.34,1214.82169796,191.34
2019-01-01 19:32:03.197765,190.64,191.34,1214.82169796,191.34
2019-01-01 19:33:03.209078,190.60,191.34,1214.99916046,191.34
2019-01-01 19:34:03.157775,190.70,191.34,1205.55760040,191.34
2019-01-01 19:35:03.147360,190.52,191.34,1205.46002913,191.34
2019-01-01 19:36:03.197043,190.61,191.34,1174.63558949,191.34
2019-01-01 19:37:03.149602,190.70,191.34,1174.63558949,191.34
2019-01-01 19:38:03.169531,191.00,191.34,1174.61304903,191.34
2019-01-01 19:39:03.225463,191.04,191.34,1174.61304903,191.34
2019-01-01 19:40:03.217534,191.04,191.34,1174.51538499,191.34
2019-01-01 19:41:03.405938,191.36,193.30,1174.51539086,191.34
2019-01-01 19:42:03.434348,191.54,193.50,1174.51539086,191.34
2019-01-01 19:43:03.430264,191.63,194.00,1174.74200520,194.00
2019-01-01 19:44:03.444492,191.73,193.99,1176.04200520,191.68
2019-01-01 19:45:03.385008,191.85,193.99,1173.89822433,191.68
2019-01-01 19:46:03.286571,191.96,194.00,1167.43082013,194.00
2019-01-01 19:47:03.371133,192.10,194.00,1159.91647006,194.00
2019-01-01 19:48:02.719490,192.18,194.00,1154.89373452,194.00
